period,org_code,type,attendances,breaches,admissions
2017-03-01,RRK,1,10032,1543,2818
2017-03-01,RKB,1,11986,3213,4077
2017-03-01,RKB,2,2081,47,95
2017-03-01,RKB,other,2187,2,1
2017-03-01,RWE,1,12697,3227,3758
2017-03-01,RWE,2,1850,19,9
2017-03-01,RWE,other,6073,69,286
2017-03-01,RJE,1,15129,4019,4511
2017-03-01,RJE,2,429,0,0
2017-03-01,RJE,other,4774,91,0
2017-03-01,RBK,1,6360,1986,1936
2017-03-01,RBK,other,3809,1,0
2017-03-01,ATQ02,other,4019,0,0
2017-03-01,RWG,1,8042,2644,2701
2017-03-01,RWG,other,4023,3,0
2017-03-01,RGR,1,5887,419,2063
2017-03-01,RWP,1,9976,2711,3201
2017-03-01,RWP,other,5581,2,0
2017-03-01,RLQ,1,4618,915,1185
2017-03-01,RLQ,other,3060,0,0
2017-03-01,REM,1,7186,1449,2718
2017-03-01,REM,other,7197,0,0
2017-03-01,RCF,1,5480,379,1078
2017-03-01,RBS,1,5349,216,1130
2017-03-01,RFF,1,7146,537,2143
2017-03-01,RXL,1,7064,2208,2247
2017-03-01,RXL,other,9520,8,0
2017-03-01,RMC,1,8492,1563,2242
2017-03-01,RMC,other,1072,1,7
2017-03-01,RAE,1,11362,864,3045
2017-03-01,NNF09,other,1635,2,0
2017-03-01,RY2,other,8073,230,0
2017-03-01,RWY,1,12967,337,2628
2017-03-01,RW3,1,13272,2106,3890
2017-03-01,RW3,2,3620,18,161
2017-03-01,RW3,other,10219,28,148
2017-03-01,RLN,1,7844,795,2650
2017-03-01,RLN,2,2497,8,24
2017-03-01,RLN,other,2729,2,0
2017-03-01,RJR,1,6019,922,1541
2017-03-01,RJR,other,598,5,0
2017-03-01,RXP,1,10733,752,3387
2017-03-01,RXP,other,10497,0,0
2017-03-01,RNN,other,1781,50,0
2017-03-01,RP5,1,11271,1035,3315
2017-03-01,RP5,other,2715,0,388
2017-03-01,RJN,1,3998,704,958
2017-03-01,RJN,other,262,0,0
2017-03-01,RXR,1,8923,2562,3054
2017-03-01,RXR,other,7884,401,70
2017-03-01,NNF28,other,88,0,0
2017-03-01,RR7,1,7781,409,1670
2017-03-01,RR7,other,2448,3,0
2017-03-01,RCD,1,3975,135,988
2017-03-01,RCD,other,895,0,0
2017-03-01,RWA,1,11425,690,3329
2017-03-01,RWA,other,1402,2,0
2017-03-01,RV9,other,1621,0,0
2017-03-01,RXN,1,5770,1793,1721
2017-03-01,RXN,other,6424,208,326
2017-03-01,Y01231,other,2559,0,0
2017-03-01,RR8,1,18152,1844,5213
2017-03-01,RR8,other,2100,0,0
2017-03-01,Y02875,other,4280,0,0
2017-03-01,RY1,other,2541,0,0
2017-03-01,REP,2,1139,15,111
2017-03-01,Y01069,other,3222,0,0
2017-03-01,RBT,1,5708,205,1840
2017-03-01,RBT,other,1649,0,0
2017-03-01,RXF,1,20398,1515,5047
2017-03-01,RNL,1,7821,1185,2055
2017-03-01,RVW,1,5840,254,1650
2017-03-01,RVW,other,1744,2,4
2017-03-01,RTV,other,2011,0,0
2017-03-01,NLO01,other,6745,192,0
2017-03-01,RJL,1,11630,2006,2565
2017-03-01,RJL,other,1497,1,3
2017-03-01,RTF,1,8260,671,3975
2017-03-01,RTF,other,8306,54,31
2017-03-01,RW6,1,22930,4997,5328
2017-03-01,RW6,other,4301,96,107
2017-03-01,RT2,other,3463,0,0
2017-03-01,AC008,other,1042,0,0
2017-03-01,RQ6,1,7715,2040,2344
2017-03-01,RQ6,2,1761,28,44
2017-03-01,RQ6,other,10500,0,0
2017-03-01,RM3,1,8898,1355,2637
2017-03-01,AXT02,other,3173,0,0
2017-03-01,RCU,1,5440,227,726
2017-03-01,RHQ,1,9335,2094,2861
2017-03-01,RHQ,2,1364,0,3
2017-03-01,RHQ,other,6906,40,4
2017-03-01,RTR,1,10362,558,1919
2017-03-01,RTR,other,5164,0,16
2017-03-01,RE9,1,5071,99,1228
2017-03-01,RE9,other,669,1,0
2017-03-01,RVY,1,6542,1384,1905
2017-03-01,RVY,other,5161,6,0
2017-03-01,RBN,1,8808,1757,3497
2017-03-01,RBN,other,5611,54,0
2017-03-01,RWJ,1,8174,1652,2699
2017-03-01,RMP,1,7390,869,1708
2017-03-01,RTD,1,10697,1131,2116
2017-03-01,RTD,2,1997,40,15
2017-03-01,RTD,other,4685,0,4
2017-03-01,RFR,1,6515,1054,1671
2017-03-01,RFR,other,4146,0,0
2017-03-01,RM2,1,8420,685,2478
2017-03-01,RTX,1,7121,1411,2019
2017-03-01,RTX,other,1823,75,78
2017-03-01,RWW,1,6890,953,2632
2017-03-01,RWW,other,3827,39,0
2017-03-01,RY7,other,4696,29,0
2017-03-01,RBL,1,8068,1965,2546
2017-03-01,RBL,other,2629,40,0
2017-03-01,AJN,other,452,0,0
2017-03-01,RRF,1,7741,936,1972
2017-03-01,RCB,1,9036,1664,3543
2017-03-01,RCB,other,6659,16,0
2017-03-01,RTK,1,8355,1383,1982
2017-03-01,RTK,other,1581,0,0
2017-03-01,Y02688,other,3368,3,0
2017-03-01,NQT10,other,3175,95,0
2017-03-01,RWX,other,5523,0,0
2017-03-01,Y04538,other,3280,1,0
2017-03-01,RXH,1,12686,2158,3561
2017-03-01,RXH,2,1177,1,25
2017-03-01,NLW,other,4636,1,0
2017-03-01,RXQ,1,7101,873,2891
2017-03-01,RXQ,2,1318,0,542
2017-03-01,RXQ,other,3611,15,0
2017-03-01,Y00058,other,2315,12,0
2017-03-01,NLT02,other,1194,0,0
2017-03-01,RJ8,other,8522,15,1
2017-03-01,RN7,1,8866,904,2514
2017-03-01,RN7,other,1823,1,0
2017-03-01,RBD,1,3607,69,1310
2017-03-01,RBD,other,4019,2,0
2017-03-01,RVV,1,12737,3548,3336
2017-03-01,RVV,other,5216,13,466
2017-03-01,RXC,1,9442,1822,2801
2017-03-01,DD401,other,782,0,0
2017-03-01,RDU,1,20403,1745,6054
2017-03-01,R1J,other,5799,22,0
2017-03-01,RTE,1,11503,2555,3464
2017-03-01,RN3,1,6515,1826,2065
2017-03-01,RN3,other,5725,89,0
2017-03-01,RN5,1,9087,410,2428
2017-03-01,RN5,other,1206,0,0
2017-03-01,NDA57,other,751,1,0
2017-03-01,R1F,1,3477,788,744
2017-03-01,R1F,other,1523,0,0
2017-03-01,RYY,other,6501,3,0
2017-03-01,NR5,other,3682,1,0
2017-03-01,RWF,1,11963,1448,3677
2017-03-01,RWF,other,1996,7,0
2017-03-01,RPA,1,10452,2351,2263
2017-03-01,RVJ,1,7222,844,2324
2017-03-01,RBZ,1,3521,661,1117
2017-03-01,RBZ,other,3911,0,0
2017-03-01,L83087,other,179,0,0
2017-03-01,RNU,other,2955,106,0
2017-03-01,RTH,1,11198,1676,3100
2017-03-01,RTH,2,1797,0,61
2017-03-01,NLX02,other,711,0,0
2017-03-01,RK9,1,8345,1284,3008
2017-03-01,RK9,2,250,0,0
2017-03-01,RD3,1,5584,361,1692
2017-03-01,RD3,other,1363,0,0
2017-03-01,RHU,1,9418,2688,2921
2017-03-01,RHU,2,897,3,0
2017-03-01,RHU,other,2036,18,0
2017-03-01,RPC,other,910,1,31
2017-03-01,RHW,1,9380,594,3063
2017-03-01,RHW,2,1495,5,5
2017-03-01,REF,1,6059,1664,2489
2017-03-01,REF,other,1521,25,26
2017-03-01,RH8,1,8240,614,1849
2017-03-01,RH8,other,712,0,0
2017-03-01,RA2,1,5854,205,2017
2017-03-01,RD1,1,6218,1379,2103
2017-03-01,RD1,other,941,12,128
2017-03-01,RNZ,1,3807,303,1062
2017-03-01,RNZ,2,325,0,0
2017-03-01,Y02666,other,1357,0,0
2017-03-01,RH5,other,7026,40,0
2017-03-01,RYF,other,1293,0,0
2017-03-01,NTP11,other,3970,2,0
2017-03-01,RW1,other,2296,19,9
2017-03-01,NTPAD,other,4816,16,0
2017-03-01,RTP,1,8344,412,2264
2017-03-01,RDR,other,8981,388,0
2017-03-01,RBA,1,5394,311,1773
2017-03-01,AAH,other,203,0,0
2017-03-01,RDZ,1,6326,428,1876
2017-03-01,RDZ,2,1517,0,3
2017-03-01,RA9,1,5933,503,2530
2017-03-01,RA9,other,2804,0,0
2017-03-01,RHM,1,8622,1012,3456
2017-03-01,RHM,2,1564,35,11
2017-03-01,RA7,1,9307,1869,2918
2017-03-01,RA7,2,1947,16,12
2017-03-01,RYR,1,11417,515,3199
2017-03-01,RYR,other,965,4,0
2017-03-01,RA3,1,4350,972,1007
2017-03-01,NDA56,other,2686,21,0
2017-03-01,G82071,other,2311,0,0
2017-03-01,NDA55,other,3167,13,0
2017-03-01,NLX24,other,1509,12,0
2017-03-01,RA4,1,3963,62,1404
2017-02-01,RF4,1,17917,2694,4208
2017-02-01,RF4,2,616,4,0
2017-02-01,RF4,other,2673,20,0
2017-02-01,R1H,1,25955,6186,5820
2017-02-01,R1H,2,651,0,0
2017-02-01,R1H,other,9882,172,0
2017-02-01,AD913,other,3768,2,0
2017-02-01,RYX,other,17023,144,0
2017-02-01,RQM,1,14482,1942,3188
2017-02-01,RQM,other,6680,91,0
2017-02-01,RJ6,1,5761,1374,2021
2017-02-01,RJ6,other,3202,21,0
2017-02-01,Y02696,other,1016,0,0
2017-02-01,NX122,other,2261,0,0
2017-02-01,RVR,1,10654,534,3003
2017-02-01,RVR,2,484,2,8
2017-02-01,RJ1,1,10683,1471,2867
2017-02-01,RJ1,2,700,0,0
2017-02-01,RJ1,other,2634,5,0
2017-02-01,Y03082,other,3459,0,0
2017-02-01,RQX,1,8790,507,1498
2017-02-01,RY9,other,4088,1,0
2017-02-01,RYJ,1,8452,2565,2835
2017-02-01,RYJ,2,3672,13,8
2017-02-01,RYJ,other,9528,57,0
2017-02-01,RJZ,1,15070,3754,4017
2017-02-01,RJZ,2,1880,1,0
2017-02-01,RJZ,other,4192,175,0
2017-02-01,RAX,1,7677,1121,1646
2017-02-01,RAX,2,915,0,0
2017-02-01,RJ2,1,16054,3095,4397
2017-02-01,RJ2,other,5012,0,0
2017-02-01,R1K,1,10644,4616,4050
2017-02-01,R1K,other,14585,109,0
2017-02-01,RP6,2,7527,100,20
2017-02-01,RAT,other,4539,35,0
2017-02-01,RAP,1,13091,2314,2233
2017-02-01,Y02973,other,757,0,0
2017-02-01,AF003,other,425,0,0
2017-02-01,AF002,other,545,0,0
2017-02-01,RAL,1,16388,2485,3255
2017-02-01,RAL,other,2831,0,0
2017-02-01,Y03047,other,1797,0,0
2017-02-01,RJ7,1,11454,1178,3429
2017-02-01,RJ7,other,1065,0,0
2017-02-01,F84747,other,2297,0,0
2017-02-01,RAS,1,5179,2175,1697
2017-02-01,RAS,other,7199,39,0
2017-02-01,Y03094,other,2815,0,0
2017-02-01,E84068,other,3141,0,0
2017-02-01,RKE,1,7431,995,1181
2017-02-01,RRV,1,10584,1144,1831
2017-02-01,Y02147,other,8613,0,0
2017-02-01,Y03201,other,2295,0,0
2017-02-01,NL7,other,5061,0,0
2017-02-01,8J094,other,2176,0,0
2017-02-01,RDD,1,10152,847,2179
2017-02-01,RC1,1,5530,444,1818
2017-02-01,M85813,other,2983,0,0
2017-02-01,RQ3,1,4586,183,837
2017-02-01,RJF,1,4493,498,1698
2017-02-01,RJF,other,3670,1,3
2017-02-01,RGT,1,8094,2093,2787
2017-02-01,RGT,other,2961,0,20
2017-02-01,RFS,1,5840,703,1780
2017-02-01,NQ108,other,1965,1,0
2017-02-01,RDE,1,6371,779,2331
2017-02-01,RDE,other,4320,0,0
2017-02-01,Y03571,other,5635,30,0
2017-02-01,RTG,1,9800,1367,3279
2017-02-01,RTG,other,3725,6,46
2017-02-01,RY8,other,4114,1,0
2017-02-01,NNJ,other,1648,0,0
2017-02-01,RWH,1,8079,1935,2856
2017-02-01,RWH,other,3890,0,0
2017-02-01,NAX,other,44,0,0
2017-02-01,NQ106,other,493,0,0
2017-02-01,RLT,1,5658,1015,948
2017-02-01,NTPAL,other,1847,0,0
2017-02-01,NEH06,other,1723,1,0
2017-02-01,RR1,1,16808,3902,5165
2017-02-01,RR1,other,3062,49,1244
2017-02-01,RY4,other,794,1,0
2017-02-01,RQQ,1,3353,765,703
2017-02-01,RGQ,1,6478,723,1885
2017-02-01,RGQ,other,373,0,156
2017-02-01,RGP,1,5269,683,1159
2017-02-01,RGP,other,90,0,0
2017-02-01,RNQ,1,6587,1502,2195
2017-02-01,C82038,other,331,0,0
2017-02-01,RY5,other,12123,80,9
2017-02-01,NJS05,other,3345,67,0
2017-02-01,RC9,1,7677,199,2466
2017-02-01,RC9,other,3285,0,0
2017-02-01,C82009,other,261,0,0
2017-02-01,NLO11,other,551,1,0
2017-02-01,NLO09,other,500,1,0
2017-02-01,RQ8,1,6980,838,2121
2017-02-01,RQ8,other,264,15,0
2017-02-01,RD8,1,6430,1181,1305
2017-02-01,RD8,other,4121,23,0
2017-02-01,Y02652,other,3543,0,0
2017-02-01,RM1,1,8464,2061,2264
2017-02-01,RM1,other,764,0,0
2017-02-01,RGN,1,6853,1104,2107
2017-02-01,RGN,other,673,0,0
2017-02-01,RNS,1,7796,1899,2812
2017-02-01,RNS,2,921,6,0
2017-02-01,NMH01,other,5082,0,0
2017-02-01,NR3,other,4548,307,0
2017-02-01,RX1,1,13183,3028,3507
2017-02-01,RX1,2,1413,22,0
2017-02-01,RX1,other,171,0,0
2017-02-01,NLO10,other,2676,23,0
2017-02-01,C82010,other,220,0,0
2017-02-01,NLO12,other,250,0,0
2017-02-01,Y02428,other,2098,0,0
2017-02-01,RXK,1,12951,3034,2869
2017-02-01,RXK,2,1713,12,14
2017-02-01,RXK,other,2520,0,0
2017-02-01,RK5,1,7642,565,2372
2017-02-01,RK5,other,3498,54,6
2017-02-01,RXW,1,8779,2497,2195
2017-02-01,RXW,other,1525,0,0
2017-02-01,R1D,2,345,0,0
2017-02-01,R1D,other,1585,0,0
2017-02-01,Y02615,other,5005,0,0
2017-02-01,RJC,1,4651,225,1571
2017-02-01,RJC,other,545,0,0
2017-02-01,RAJ,1,7328,1079,2123
2017-02-01,Y02470,other,1878,0,0
2017-02-01,Y02961,other,3314,0,0
2017-02-01,RNA,1,7769,1064,2149
2017-02-01,RNA,other,6072,0,0
2017-02-01,RQW,1,7459,2395,1494
2017-02-01,RCX,1,4553,433,1981
2017-02-01,RL4,1,9797,1689,2276
2017-02-01,RL4,other,8131,156,0
2017-02-01,RWD,1,11196,2759,3123
2017-02-01,RRK,1,8753,1654,2531
2017-02-01,RKB,1,10339,2822,3448
2017-02-01,RKB,2,1843,29,72
2017-02-01,RKB,other,1835,4,0
2017-02-01,RWE,1,10612,2793,3361
2017-02-01,RWE,2,1606,26,3
2017-02-01,RWE,other,5349,34,245
2017-02-01,RJE,1,12948,3777,4000
2017-02-01,RJE,2,377,0,0
2017-02-01,RJE,other,4003,38,0
2017-02-01,RBK,1,5593,1636,1693
2017-02-01,RBK,other,3227,25,0
2017-02-01,ATQ02,other,3578,0,0
2017-02-01,RWG,1,7178,2324,2473
2017-02-01,RWG,other,3218,1,0
2017-02-01,RGR,1,5050,812,1860
2017-02-01,RWP,1,8647,2957,2602
2017-02-01,RWP,other,4741,1,0
2017-02-01,RLQ,1,3908,965,1062
2017-02-01,RLQ,other,2698,0,0
2017-02-01,REM,1,6217,1713,2244
2017-02-01,REM,other,6378,0,0
2017-02-01,RCF,1,4577,254,971
2017-02-01,RBS,1,4536,137,963
2017-02-01,RFF,1,6281,943,1999
2017-02-01,RXL,1,6229,2417,2021
2017-02-01,RXL,other,8534,1,0
2017-02-01,RMC,1,7749,1231,2040
2017-02-01,RMC,other,924,2,1
2017-02-01,RAE,1,9969,988,2667
2017-02-01,NNF09,other,1299,0,0
2017-02-01,RY2,other,6887,105,0
2017-02-01,RWY,1,11252,737,2408
2017-02-01,RW3,1,11747,2453,3303
2017-02-01,RW3,2,3268,0,135
2017-02-01,RW3,other,8855,21,140
2017-02-01,RLN,1,7168,1242,2545
2017-02-01,RLN,2,2117,26,22
2017-02-01,RLN,other,2368,2,0
2017-02-01,RJR,1,5275,713,1338
2017-02-01,RJR,other,576,5,0
2017-02-01,RXP,1,9468,1603,3128
2017-02-01,RXP,other,9653,0,0
2017-02-01,RNN,other,1526,37,0
2017-02-01,RP5,1,9793,1360,2945
2017-02-01,RP5,other,2268,0,333
2017-02-01,RJN,1,3436,775,858
2017-02-01,RJN,other,173,0,0
2017-02-01,RXR,1,7824,2365,2836
2017-02-01,RXR,other,5405,295,41
2017-02-01,NNF28,other,84,0,0
2017-02-01,RR7,1,6572,387,1488
2017-02-01,RR7,other,2130,1,0
2017-02-01,RCD,1,3290,208,787
2017-02-01,RCD,other,724,0,0
2017-02-01,RWA,1,9827,1957,2887
2017-02-01,RWA,other,1061,0,0
2017-02-01,RV9,other,1247,2,0
2017-02-01,RXN,1,5084,1506,1545
2017-02-01,RXN,other,5446,201,337
2017-02-01,Y01231,other,1971,0,0
2017-02-01,RR8,1,15978,2830,4782
2017-02-01,RR8,other,1678,0,0
2017-02-01,Y02875,other,3693,0,0
2017-02-01,RY1,other,2172,0,0
2017-02-01,REP,2,985,17,105
2017-02-01,Y01069,other,2716,0,0
2017-02-01,RBT,1,4861,410,1594
2017-02-01,RBT,other,1303,0,0
2017-02-01,RXF,1,17442,3092,4347
2017-02-01,RNL,1,6822,945,1819
2017-02-01,RVW,1,5220,481,1510
2017-02-01,RVW,other,1321,2,3
2017-02-01,RTV,other,1728,0,0
2017-02-01,NLO01,other,6039,256,0
2017-02-01,RJL,1,9989,2698,2400
2017-02-01,RJL,other,1153,1,1
2017-02-01,RTF,1,7094,1223,3497
2017-02-01,RTF,other,6855,44,24
2017-02-01,RW6,1,20121,5159,4778
2017-02-01,RW6,other,3991,115,95
2017-02-01,RT2,other,3123,0,0
2017-02-01,RQ6,1,6775,2290,1961
2017-02-01,RQ6,2,1422,0,48
2017-02-01,RQ6,other,9257,0,0
2017-02-01,RM3,1,7598,1723,2331
2017-02-01,AXT02,other,2596,0,0
2017-02-01,RCU,1,4342,112,612
2017-02-01,RHQ,1,8460,2947,2550
2017-02-01,RHQ,2,1093,0,1
2017-02-01,RHQ,other,6264,0,7
2017-02-01,RTR,1,8954,933,1761
2017-02-01,RTR,other,4714,0,21
2017-02-01,RE9,1,4414,285,1135
2017-02-01,RE9,other,597,2,0
2017-02-01,RVY,1,5712,1228,1637
2017-02-01,RVY,other,4584,9,0
2017-02-01,RBN,1,7740,2008,3010
2017-02-01,RBN,other,5103,59,0
2017-02-01,RWJ,1,6831,1695,2139
2017-02-01,RMP,1,6352,835,1570
2017-02-01,RTD,1,9419,997,2019
2017-02-01,RTD,2,1590,14,24
2017-02-01,RTD,other,4333,0,4
2017-02-01,RFR,1,5567,1417,1408
2017-02-01,RFR,other,3961,0,0
2017-02-01,RM2,1,7435,964,2367
2017-02-01,RTX,1,6113,1385,1825
2017-02-01,RTX,other,1486,45,70
2017-02-01,RWW,1,5985,1428,2261
2017-02-01,RWW,other,3418,30,0
2017-02-01,RY7,other,4098,64,0
2017-02-01,RBL,1,7050,2076,2114
2017-02-01,RBL,other,2280,13,0
2017-02-01,AJN,other,368,0,0
2017-02-01,RRF,1,6605,1063,1585
2017-02-01,RCB,1,7930,2504,3062
2017-02-01,RCB,other,5630,15,0
2017-02-01,RTK,1,7498,1503,1875
2017-02-01,RTK,other,1387,0,0
2017-02-01,Y02688,other,3139,3,0
2017-02-01,NQT10,other,3112,0,0
2017-02-01,RWX,other,4918,0,0
2017-02-01,Y04538,other,2574,1,0
2017-02-01,RXH,1,11012,2366,3149
2017-02-01,RXH,2,1059,10,26
2017-02-01,NLW,other,4101,1,0
2017-02-01,RXQ,1,6153,1161,2550
2017-02-01,RXQ,2,1187,0,463
2017-02-01,RXQ,other,3155,17,0
2017-02-01,Y00058,other,2003,31,0
2017-02-01,NLT02,other,981,0,0
2017-02-01,RJ8,other,7016,25,1
2017-02-01,RN7,1,7750,1313,2137
2017-02-01,RN7,other,1484,0,0
2017-02-01,RBD,1,3084,192,1171
2017-02-01,RBD,other,3264,2,0
2017-02-01,RVV,1,10975,3700,3030
2017-02-01,RVV,other,4554,36,387
2017-02-01,RXC,1,7951,1903,2433
2017-02-01,DD401,other,718,0,0
2017-02-01,RDU,1,17357,1527,5308
2017-02-01,R1J,other,4755,11,0
2017-02-01,RTE,1,9772,2248,3207
2017-02-01,RN3,1,5913,2076,2077
2017-02-01,RN3,other,4568,42,0
2017-02-01,RN5,1,7789,1022,2054
2017-02-01,RN5,other,1004,0,0
2017-02-01,NDA57,other,575,11,0
2017-02-01,R1F,1,3039,600,666
2017-02-01,R1F,other,1046,0,0
2017-02-01,RYY,other,5201,8,0
2017-02-01,NR5,other,3181,2,0
2017-02-01,RWF,1,10386,1789,3204
2017-02-01,RWF,other,1619,0,0
2017-02-01,RPA,1,8460,2016,1948
2017-02-01,RVJ,1,6160,1128,2097
2017-02-01,RBZ,1,3116,522,953
2017-02-01,RBZ,other,3404,0,0
2017-02-01,L83087,other,119,0,0
2017-02-01,RNU,other,2343,33,0
2017-02-01,RTH,1,9816,2005,2794
2017-02-01,RTH,2,1478,0,57
2017-02-01,NLX02,other,515,0,0
2017-02-01,RK9,1,7229,1085,2656
2017-02-01,RK9,2,217,0,0
2017-02-01,RD3,1,4830,414,1465
2017-02-01,RD3,other,1059,0,0
2017-02-01,RHU,1,7901,2493,2452
2017-02-01,RHU,2,785,1,0
2017-02-01,RHU,other,1430,3,1
2017-02-01,RPC,other,702,1,13
2017-02-01,RHW,1,8112,817,2665
2017-02-01,RHW,2,1238,1,2
2017-02-01,REF,1,5324,1324,2344
2017-02-01,REF,other,1255,12,31
2017-02-01,RH8,1,7214,637,1699
2017-02-01,RH8,other,688,0,0
2017-02-01,RA2,1,4979,307,1786
2017-02-01,RD1,1,5272,1229,1753
2017-02-01,RD1,other,793,11,92
2017-02-01,RNZ,1,3223,543,954
2017-02-01,RNZ,2,325,0,0
2017-02-01,Y02666,other,1207,0,0
2017-02-01,RH5,other,5779,13,0
2017-02-01,RYF,other,1110,0,0
2017-02-01,NTP11,other,4103,6,0
